,artists,genres,Artist Popularity
56,2Baba,"[""'afro dancehall'"", ""'afropop'"", ""'nigerian hip hop'"", ""'nigerian pop'""]",0
57,2CELLOS,"[""'bow pop'"", ""'cello'"", ""'classify'""]",58
58,2NE1,"[""'dance pop'"", ""'k-pop'"", ""'k-pop girl group'""]",64
59,2Pac,"[""'g funk'"", ""'gangster rap'"", ""'hip hop'"", ""'rap'"", ""'west coast rap'""]",49
60,2nd Chapter Of Acts,"[""'christian music'"", ""'deep christian rock'""]",28
61,2nd II None,"[""'gangster rap'"", ""'west coast rap'""]",35
62,2nd South Carolina String Band,"[""'string band'"", ""'traditional country'""]",39
63,3 Doors Down,"[""'alternative metal'"", ""'nu metal'"", ""'pop rock'"", ""'post-grunge'""]",49
64,3 Inches Of Blood,"[""'canadian metal'"", ""'power metal'"", ""'speed metal'"", ""'vancouver metal'"", ""'vancouver punk'""]",46
65,311,"[""'alternative metal'"", ""'alternative rock'"", ""'funk metal'"", ""'funk rock'"", ""'nu metal'"", ""'pop rock'"", ""'post-grunge'"", ""'rap rock'"", ""'reggae fusion'"", ""'rock'""]",40
66,35MM: A Musical Exhibition Original Cast,"[""'ensemble'""]",49
67,36 Crazyfists,"[""'alternative metal'"", ""'melodic metalcore'"", ""'metalcore'"", ""'nu metal'"", ""'rap rock'""]",52
68,38 Special,"[""'album rock'"", ""'classic rock'"", ""'country rock'"", ""'folk rock'"", ""'hard rock'"", ""'mellow gold'"", ""'rock'"", ""'soft rock'"", ""'southern rock'""]",32
69,3BallMTY,"[""'mexican indie'"", ""'trival'""]",57
70,3LAU,"[""'big room'"", ""'edm'"", ""'electro house'"", ""'electronic trap'"", ""'electropop'"", ""'mashup'"", ""'pop edm'"", ""'progressive electro house'"", ""'progressive house'"", ""'tropical house'""]",58
71,3LW,"[""'girl group'"", ""'hip pop'"", ""'r&b'"", ""'urban contemporary'""]",49
72,3OH!3,"[""'dance pop'"", ""'electropowerpop'"", ""'pop'"", ""'pop punk'"", ""'pop rap'"", ""'post-teen pop'""]",53
73,3T,"[""'electro-industrial'"", ""'industrial'"", ""'industrial metal'"", ""'industrial rock'""]",45
74,3X Krazy,"[""'g funk'"", ""'hyphy'"", ""'west coast rap'"", ""'west coast trap'""]",47
75,3rd Bass,"[""'east coast hip hop'"", ""'electro'"", ""'gangster rap'"", ""'hardcore hip hop'"", ""'hip hop'"", ""'hip house'"", ""'rap'""]",30
76,3rd Strike,"[""'nu metal'"", ""'rap rock'""]",38
77,4 Non Blondes,"[""'new wave pop'"", ""'pop rock'""]",48
78,4 P.M.,"[""'anime rock'"", ""'vocaloid'""]",37
79,4 Skins,"[""'oi'"", ""'punk'"", ""'ska'""]",35
80,4 Strings,"[""'bubble trance'"", ""'dutch trance'"", ""'progressive house'"", ""'trance'"", ""'uplifting trance'"", ""'vocal trance'""]",56
81,42 Dugg,"[""'detroit trap'"", ""'southern hip hop'"", ""'trap'""]",71
82,420 Unlovable,"[""'meme rap'""]",60
83,42nd Street Ensemble,"[""'broadway'"", ""'ensemble'""]",17
84,45 Grave,"[""'dark wave'"", ""'deathrock'"", ""'gothic rock'"", ""'horror punk'""]",27
85,4B,"[""'brostep'"", ""'electro house'"", ""'electronic trap'""]",54
86,4Him,"[""'christian alternative rock'"", ""'christian music'"", ""'deep christian rock'"", ""'worship'""]",32
87,4Minute,"[""'k-pop'"", ""'k-pop girl group'""]",61
88,5 Seconds of Summer,"[""'boy band'"", ""'dance pop'"", ""'pop'"", ""'post-teen pop'""]",61
89,50 Cent,"[""'east coast hip hop'"", ""'gangster rap'"", ""'hip hop'"", ""'pop rap'"", ""'queens hip hop'"", ""'rap'""]",52
90,504 Boyz,"[""'dirty south rap'"", ""'pop rap'"", ""'southern hip hop'""]",43
91,520Hz,"[""'white noise'""]",56
92,54-40,"[""'canadian indie'"", ""'canadian rock'""]",45
93,5th Ward Boyz,"[""'dirty south rap'"", ""'dirty texas rap'"", ""'gangster rap'""]",36
94,6 Dogs,"[""'dark trap'"", ""'emo rap'"", ""'melodic rap'"", ""'underground hip hop'"", ""'vapor trap'""]",68
95,645AR,"[""'meme rap'""]",68
96,69 Boyz,"[""'miami bass'""]",39
97,6LACK,"[""'alternative r&b'"", ""'atl hip hop'"", ""'hip hop'"", ""'melodic rap'"", ""'pop'"", ""'pop rap'"", ""'rap'"", ""'trap'""]",65
98,6cyclemind,"[""'classic opm'"", ""'opm'"", ""'pinoy rock'""]",57
99,6ix9ine,"[""'emo rap'""]",69
100,7 Seconds,"[""'hardcore'"", ""'hardcore punk'"", ""'melodic hardcore'"", ""'punk'"", ""'skate punk'"", ""'straight edge'"", ""'thrash core'""]",30
101,7 Year Bitch,"[""'grunge'"", ""'riot grrrl'""]",40
102,702,"[""'girl group'"", ""'hip pop'"", ""'neo soul'"", ""'new jack swing'"", ""'r&b'"", ""'urban contemporary'""]",51
103,7eventh Time Down,"[""'ccm'"", ""'christian alternative rock'"", ""'christian hard rock'"", ""'christian music'"", ""'christian rock'""]",54
104,808 State,"[""'acid house'"", ""'big beat'"", ""'chicago house'"", ""'electro'"", ""'hardcore techno'"", ""'hip house'"", ""'intelligent dance music'"", ""'madchester'"", ""'rave'"", ""'techno'""]",45
105,88-Keys,"[""'alternative hip hop'""]",54
106,88GLAM,"[""'canadian hip hop'"", ""'melodic rap'"", ""'pop rap'"", ""'rap'"", ""'southern hip hop'"", ""'toronto rap'"", ""'trap'"", ""'trap soul'"", ""'underground hip hop'"", ""'vapor trap'""]",74
107,88rising,"[""'asian american hip hop'"", ""'pop'""]",67
108,8Ball,"[""'crunk'"", ""'deep southern trap'"", ""'dirty south rap'"", ""'gangster rap'"", ""'memphis hip hop'"", ""'rap'"", ""'southern hip hop'"", ""'trap'""]",41
109,8Ball & MJG,"[""'dirty south rap'"", ""'gangster rap'"", ""'memphis hip hop'"", ""'rap'"", ""'southern hip hop'"", ""'trap'""]",39
110,93FEETOFSMOKE,"[""'dark trap'"", ""'emo rap'"", ""'underground hip hop'""]",68
111,94 East,"[""'minneapolis sound'""]",31
112,98º,"[""'boy band'"", ""'dance pop'""]",49
113,999,"[""'oi'"", ""'pub rock'"", ""'punk'""]",33
114,9lokknine,"[""'florida rap'"", ""'vapor trap'""]",71
115,9tails,"[""'emo rap'""]",67
116,9th Wonder,"[""'alternative hip hop'"", ""'hip hop'"", ""'nc hip hop'""]",49
117,? & The Mysterians,"[""'bubblegum pop'"", ""'chicano punk'"", ""'classic garage rock'"", ""'freakbeat'"", ""'protopunk'"", ""'psychedelic rock'""]",24
118,?uestlove,"[""'philly rap'""]",41
119,A,"[""'dance pop'"", ""'pop'"", ""'post-teen pop'""]",48
120,A Boogie Wit da Hoodie,"[""'melodic rap'"", ""'pop rap'"", ""'rap'"", ""'trap'""]",65
121,A Certain Ratio,"[""'dance rock'"", ""'dance-punk'"", ""'experimental'"", ""'new wave'"", ""'no wave'"", ""'post-punk'"", ""'uk post-punk'""]",28
122,A Change of Pace,"[""'neon pop punk'"", ""'pop emo'"", ""'pop punk'"", ""'screamo'""]",43
123,A Day To Remember,"[""'metalcore'"", ""'pop punk'"", ""'screamo'""]",53
124,A Fine Frenzy,"[""'acoustic pop'"", ""'lilith'"", ""'neo mellow'"", ""'pop rock'""]",53
125,A Flock Of Seagulls,"[""'dance rock'"", ""'new romantic'"", ""'new wave'"", ""'new wave pop'"", ""'synthpop'""]",42
126,A Great Big World,"[""'indiecoustica'"", ""'neo mellow'"", ""'piano rock'"", ""'pop rock'""]",58
127,A Guy Called Gerald,"[""'acid house'"", ""'atmospheric dnb'"", ""'drum and bass'"", ""'madchester'"", ""'techno'""]",46
128,A Heart Beats,"[""'doo-wop'"", ""'rhythm and blues'""]",37
129,A L E X,"[""'chillhop'"", ""'lo-fi beats'""]",63
130,A Perfect Circle,"[""'alternative metal'"", ""'alternative rock'"", ""'modern rock'"", ""'nu metal'"", ""'post-grunge'"", ""'rap rock'"", ""'rock'"", ""'supergroup'""]",49
131,A R I Z O N A,"[""'edm'"", ""'electropop'"", ""'indie poptimism'"", ""'indietronica'"", ""'pop'"", ""'tropical house'""]",65
132,A Rocket To The Moon,"[""'alternative pop rock'"", ""'neo mellow'"", ""'neon pop punk'"", ""'pixie'"", ""'pop emo'"", ""'pop punk'"", ""'pop rock'""]",57
133,A Skylit Drive,"[""'metalcore'"", ""'pixie'"", ""'post-screamo'"", ""'screamo'""]",44
134,A Static Lullaby,"[""'melodic metalcore'"", ""'post-hardcore'"", ""'screamo'""]",48
135,A Taste Of Honey,"[""'boogie'"", ""'disco'"", ""'funk'"", ""'post-disco'""]",45
136,A Thousand Horses,"[""'contemporary country'"", ""'country pop'"", ""'modern country rock'""]",55
137,A Touch Of Class,"[""'bubblegum dance'"", ""'europop'""]",64
138,A Tree Grows in Brooklyn Ensemble,"[""'ensemble'""]",0
139,A Tree Grows in Brooklyn Orchestra,"[""'orchestra'""]",1
140,A Tribe Called Quest,"[""'alternative hip hop'"", ""'conscious hip hop'"", ""'east coast hip hop'"", ""'gangster rap'"", ""'hardcore hip hop'"", ""'hip hop'"", ""'jazz rap'"", ""'queens hip hop'"", ""'rap'""]",46
141,A Tribe Called Red,"[""'canadian indigenous'"", ""'escape room'"", ""'native american hip hop'"", ""'ottawa rap'""]",51
142,A Winged Victory for the Sullen,"[""'ambient'"", ""'chamber psych'"", ""'compositional ambient'"", ""'drift'"", ""'drone'"", ""'focus'"", ""'neo-classical'"", ""'post-rock'"", ""'warm drone'""]",45
143,A$AP ANT,"[""'baltimore hip hop'"", ""'drill'"", ""'underground hip hop'"", ""'vapor trap'""]",57
144,A$AP Ferg,"[""'hip hop'"", ""'pop rap'"", ""'rap'"", ""'southern hip hop'"", ""'trap'"", ""'underground hip hop'""]",61
145,A$AP Mob,"[""'hip hop'"", ""'rap'"", ""'southern hip hop'"", ""'trap'"", ""'vapor trap'""]",59
146,A$AP NAST,"[""'harlem hip hop'""]",55
147,A$AP Rocky,"[""'east coast hip hop'"", ""'hip hop'"", ""'pop rap'"", ""'rap'"", ""'southern hip hop'"", ""'trap'""]",62
148,A$AP Twelvyy,"[""'hip hop'"", ""'rap'"", ""'underground hip hop'""]",55
149,A*M*E,"[""'reggae'""]",61
150,A*Teens,"[""'bubblegum dance'"", ""'dance pop'"", ""'europop'""]",44
151,A-Lin,"[""'anthem worship'"", ""'canadian ccm'"", ""'ccm'""]",60
152,A-Mei Chang,"[""'c-pop'"", ""'mandopop'""]",51
153,A-Trak,"[""'banda'"", ""'grupera'"", ""'regional mexican'""]",55
154,A. Jaziukevičius,"[""'lithuanian folk'""]",1
155,A. L. Lloyd,"[""'broadway'"", ""'show tunes'"", ""'west end'""]",11
156,A. M. Rajah,"[""'deep indian pop'"", ""'filmi'""]",4
157,A. R. Qureshi,"[""'hindustani classical'"", ""'hindustani instrumental'"", ""'indian classical'"", ""'tabla'""]",0
158,A.C. Reed,"[""'blues'"", ""'chicago blues'"", ""'electric blues'"", ""'soul blues'""]",32
159,A.CHAL,"[""'trap soul'""]",65
160,A.R. Kane,"[""'dream pop'"", ""'shoegaze'""]",26
161,A.R. Rahman,"[""'desi pop'"", ""'filmi'"", ""'modern bollywood'"", ""'sufi'""]",57
162,ABBA,"[""'europop'"", ""'swedish pop'""]",40
163,ABN,"[""'dirty south rap'"", ""'gangster rap'"", ""'houston rap'""]",41
164,ABSRDST,"[""'hyperpop'""]",55
165,AC/DC,"[""'album rock'"", ""'australian rock'"", ""'hard rock'"", ""'rock'""]",48
166,ACOT,"[""'meme rap'""]",64
167,AFI,"[""'alternative metal'"", ""'emo'"", ""'modern rock'"", ""'pop punk'"", ""'punk'"", ""'screamo'"", ""'skate punk'""]",42
168,AJ Mitchell,"[""'pop'"", ""'post-teen pop'"", ""'social media pop'""]",73
169,AJ Rafael,"[""'opm'"", ""'pinoy indie'"", ""'viral pop'""]",58
170,AJ Tracey,"[""'grime'"", ""'uk hip hop'"", ""'ukg revival'""]",62
171,AJJ,"[""'acoustic punk'"", ""'anti-folk'"", ""'folk punk'"", ""'indie rock'""]",48
172,AJR,"[""'modern rock'"", ""'pop rock'""]",57
173,AL-X The Great,"[""'meme rap'""]",55
174,ALI,"[""'hip pop'"", ""'neo soul'"", ""'pop'"", ""'r&b'"", ""'urban contemporary'""]",65
175,ALLBLACK,"[""'cali rap'"", ""'hyphy'"", ""'k-rap'"", ""'west coast trap'""]",65
176,ALO,"[""'r&b'""]",57
177,AOA,"[""'k-pop'"", ""'k-pop girl group'""]",58
178,APB,"[""'canadian hip hop'""]",32
179,APO Hiking Society,"[""'classic opm'"", ""'manila sound'"", ""'opm'"", ""'pinoy rock'""]",39
180,ARTY,"[""'big room'"", ""'edm'"", ""'electro house'"", ""'pop edm'"", ""'progressive electro house'"", ""'progressive house'"", ""'progressive trance'"", ""'trance'"", ""'tropical house'"", ""'uplifting trance'""]",53
181,ASIAN KUNG-FU GENERATION,"[""'anime'"", ""'anime score'"", ""'j-pop'"", ""'j-poprock'"", ""'j-rock'"", ""'japanese emo'"", ""'japanese pop punk'"", ""'otacore'""]",55
182,ATB,"[""'german dance'"", ""'german techno'"", ""'trance'""]",57
183,ATEEZ,"[""'k-pop'"", ""'k-pop boy group'""]",69
184,ATL,"[""'modern rock'"", ""'pop'""]",34
185,AUGUST 08,"[""'la pop'"", ""'r&b'""]",76
186,AURORA,"[""'norwegian pop'""]",59
187,AViVA,"[""'vapor pop'""]",66
188,AWAY,"[""'traprun'""]",60
189,AWOLNATION,"[""'la indie'"", ""'modern alternative rock'"", ""'modern rock'"", ""'pop rock'"", ""'rock'"", ""'stomp pop'""]",53
190,AZ,"[""'grupera'"", ""'gruperas inmortales'"", ""'nu-cumbia'"", ""'regional mexican'""]",45
191,Aaliyah,"[""'dance pop'"", ""'hip hop'"", ""'hip pop'"", ""'pop'"", ""'pop rap'"", ""'r&b'"", ""'urban contemporary'""]",43
192,Aaron Carter,"[""'dance pop'"", ""'post-teen pop'""]",42
193,Aaron Copland,"[""'american modern classical'"", ""'classical'"", ""'early modern classical'""]",8
194,Aaron Hall,"[""'neo soul'"", ""'new jack swing'"", ""'quiet storm'"", ""'r&b'"", ""'urban contemporary'""]",39
195,Aaron Kamm and the One Drops,"[""'reggae rock'"", ""'stl indie'""]",45
196,Aaron Krause,"[""'indiecoustica'""]",66
197,Aaron Kwok,"[""'c-pop'"", ""'cantopop'"", ""'classic cantopop'""]",44
198,Aaron Lansing,"[""'focus'""]",65
199,Aaron Lewis,"[""'alternative metal'"", ""'contemporary country'"", ""'country'"", ""'country road'"", ""'modern country rock'"", ""'outlaw country'"", ""'post-grunge'"", ""'redneck'""]",52
200,Aaron May,"[""'underground hip hop'""]",62
201,Aaron Neville,"[""'motown'"", ""'soul'""]",43
202,Aaron Shust,"[""'anthem worship'"", ""'ccm'"", ""'christian alternative rock'"", ""'christian music'"", ""'rock cristiano'"", ""'world worship'"", ""'worship'""]",51
203,Aaron Smith,"[""'chicago house'""]",76
204,Aaron Tippin,"[""'country'"", ""'country road'"", ""'country rock'"", ""'redneck'""]",43
205,Aaron Tveit,"[""'broadway'"", ""'hollywood'"", ""'show tunes'""]",47
206,Aaron Watson,"[""'contemporary country'"", ""'country'"", ""'country road'"", ""'modern country rock'"", ""'texas country'""]",46
207,Aaron Y Su Grupo Ilusion,"[""'banda'"", ""'cumbia'"", ""'cumbia sonidera'"", ""'grupera'"", ""'regional mexican'""]",54
208,Aaron Zigman,"[""'soundtrack'""]",48
209,Aarti Mukherji,"[""'classic bollywood'"", ""'filmi'"", ""'indian folk'""]",5
210,Aazar,"[""'electro house'"", ""'electronic trap'""]",54
211,Ab-Soul,"[""'alternative hip hop'"", ""'conscious hip hop'"", ""'hip hop'"", ""'rap'"", ""'southern hip hop'"", ""'underground hip hop'""]",51
212,Abandon All Ships,"[""'canadian metalcore'"", ""'canadian post-hardcore'"", ""'metalcore'"", ""'post-screamo'"", ""'trancecore'""]",45
213,Abbey Lincoln,"[""'vocal jazz'""]",23
214,Abby Anderson,"[""'contemporary country'"", ""'country pop'""]",59
215,Abdel Halim Hafez,"[""'arab folk'"", ""'classic arab pop'""]",23
216,Abdul,"[""'dance pop'"", ""'europop'"", ""'new wave pop'"", ""'pop rock'"", ""'soft rock'"", ""'urban contemporary'""]",0
217,Abel Zavala,"[""'latin christian'"", ""'latin worship'"", ""'rap cristiano'""]",54
218,Abhi The Nomad,"[""'desi hip hop'"", ""'vapor soul'""]",60
219,Abir,"[""'moroccan pop'""]",63
220,Above & Beyond,"[""'edm'"", ""'progressive house'"", ""'progressive trance'"", ""'trance'"", ""'uplifting trance'""]",43
221,Above The Law,"[""'g funk'"", ""'gangster rap'"", ""'hyphy'"", ""'west coast rap'""]",32
222,Abraham Vazquez,"[""'corridos tumbados'"", ""'regional mexican pop'""]",67
223,Abrasive Wheels,"[""'oi'"", ""'street punk'"", ""'uk82'""]",26
224,Absofacto,"[""'indie psych-pop'"", ""'shimmer psych'""]",74
225,Abstract,"[""'hip hop'"", ""'lgbtq+ hip hop'"", ""'rap'""]",59
226,Academy Of Choir Art Of Russia,"[""'choir'""]",43
227,Academy of Ancient Music,"[""'baroque ensemble'"", ""'choral'"", ""'classical performance'"", ""'historically informed performance'""]",48
228,Academy of St. Martin in the Fields,"[""'chamber orchestra'"", ""'classical'"", ""'classical performance'""]",34
229,Academy of St. Martin in the Fields Chorus,"[""'chorus'""]",24
230,Acapulco Tropical,"[""'cumbia'"", ""'cumbia sonidera'"", ""'deep cumbia sonidera'"", ""'grupera'"", ""'ranchera'""]",48
231,Accept,"[""'album rock'"", ""'german metal'"", ""'glam metal'"", ""'hard rock'"", ""'metal'"", ""'power metal'"", ""'rock'"", ""'speed metal'"", ""'thrash metal'""]",36
232,Acceptance,"[""'christian alternative rock'"", ""'dreamo'"", ""'emo'"", ""'neon pop punk'"", ""'pop punk'"", ""'screamo'""]",45
233,Ace,"[""'florida rap'"", ""'melodic rap'"", ""'southern hip hop'"", ""'trap'""]",40
234,Ace Frehley,"[""'album rock'"", ""'glam metal'"", ""'hard rock'"", ""'metal'"", ""'rock'""]",33
235,Ace Hood,"[""'dirty south rap'"", ""'gangster rap'"", ""'hip hop'"", ""'miami hip hop'"", ""'pop rap'"", ""'rap'"", ""'southern hip hop'"", ""'trap'""]",55
236,Ace of Base,"[""'bubblegum dance'"", ""'dance pop'"", ""'eurodance'"", ""'europop'"", ""'hip house'"", ""'pop rock'""]",52
237,Acerina Y Su Danzonera,"[""'bolero'"", ""'mexican rock-and-roll'"", ""'mexican son'"", ""'ranchera'""]",9
238,Aceyalone,"[""'abstract hip hop'"", ""'alternative hip hop'"", ""'hip hop'"", ""'turntablism'"", ""'underground rap'""]",37
239,Achille Togliani,"[""'canzone napoletana'"", ""'classic italian pop'"", ""'vintage italian pop'""]",2
240,Acid Bath,"[""'doom metal'"", ""'louisiana metal'"", ""'sludge metal'"", ""'stoner metal'""]",34
241,Acid Ghost,"[""'indie garage rock'""]",54
242,Acid King,"[""'doom metal'"", ""'drone metal'"", ""'gaian doom'"", ""'psychedelic doom'"", ""'retro metal'"", ""'sludge metal'"", ""'space rock'"", ""'stoner metal'"", ""'stoner rock'""]",44
243,Acker Bilk,"[""'adult standards'"", ""'ballroom'"", ""'brill building pop'"", ""'easy listening'"", ""'jazz clarinet'"", ""'lounge'""]",40
244,Acoustic Alchemy,"[""'british jazz'"", ""'rumba'"", ""'smooth jazz'""]",26
245,Action Bronson,"[""'alternative hip hop'"", ""'east coast hip hop'"", ""'hip hop'"", ""'nyc rap'"", ""'queens hip hop'"", ""'rap'"", ""'southern hip hop'"", ""'underground hip hop'""]",55
246,Active Child,"[""'art pop'"", ""'chillwave'"", ""'indietronica'"", ""'metropopolis'"", ""'shimmer pop'"", ""'vapor soul'""]",49
247,Ada Falcón,"[""'tango'"", ""'tango cancion'"", ""'vintage tango'""]",0
248,Adalberto Santiago,"[""'latin jazz'"", ""'salsa'"", ""'salsa international'"", ""'salsa puertorriquena'"", ""'tropical'""]",31
249,Adam & The Ants,"[""'dance rock'"", ""'new romantic'"", ""'new wave'"", ""'new wave pop'"", ""'post-punk'"", ""'punk'"", ""'ska'""]",39
250,Adam Ant,"[""'dance rock'"", ""'new romantic'"", ""'new wave'"", ""'new wave pop'"", ""'permanent wave'""]",36
251,Adam Calhoun,"[""'country rap'"", ""'military rap'"", ""'redneck'""]",61
252,Adam Carroll,"[""'alternative country'"", ""'new americana'"", ""'roots americana'"", ""'roots rock'"", ""'texas country'""]",39
253,Adam Doleac,"[""'contemporary country'"", ""'country pop'""]",68
254,Adam Friedman,"[""'la pop'""]",53
255,Adam Gussow,"[""'harmonica blues'""]",37
256,Adam Hicks,"[""'post-teen pop'""]",56
257,Adam Hood,"[""'roots americana'"", ""'texas country'""]",38
258,Adam Jacobs,"[""'broadway'"", ""'hollywood'"", ""'movie tunes'"", ""'show tunes'""]",50
259,Adam Jensen,"[""'indie poptimism'"", ""'modern alternative rock'"", ""'modern rock'"", ""'rebel blues'""]",65
260,Adam K & Soha,"[""'canadian electronic'""]",55
261,Adam Lambert,"[""'dance pop'"", ""'idol'"", ""'pop'"", ""'post-teen pop'""]",60
262,Adam Levine,"[""'pop rock'""]",60
263,Adam Melchor,"[""'indie pop'"", ""'new jersey indie'""]",63
264,Adam Pascal,"[""'broadway'"", ""'hollywood'"", ""'show tunes'""]",44
265,Adam Sandler,"[""'comedy'"", ""'comic'""]",38
266,Adamski,"[""'acid house'"", ""'hip house'""]",54
